Test Number,Date Year-Mo-Da,Time (hr:mn:sec),Latitude (°N),Longitude (°E),Comments
285,1968–06-19,5:05:59.008,49.98025,78.98550,Bocharov
312,1969–11-30,3:32:59.007,49.92428,78.95575,Bocharov
341,1971–06-30,3:56:59.008,49.94600,78.98047,Bocharov
355,1972–02-10,5:03:00.000,50.02428,78.87808,Bocharov
373,1972–11-02,1:27:00.002,49.92697,78.81725,Bocharov
377,1972–12-10,4:27:10.000,50.02700,78.99556,Bocharov/Double
382,1973–07-23,1:23:00.011,49.96889,78.81750,AWE/NNC
416,1974–12-27,5:46:59.035,49.96583,79.00333,AWE/NNC
433,1975–10-29,4:46:59.082,49.95389,78.87389,AWE/NNC
435,1975–12-25,5:16:59.065,50.04389,78.82000,AWE/NNC
440,1976–04-21,5:02:59.070,49.90056,78.83083,AWE/NNC
443,1976–06-09,3:02:59.075,49.99361,79.02444,AWE/NNC
444,1976–07-04,2:56:59.094,49.90417,78.89944,AWE/NNC
448,1976–08-28,2:56:59.099,49.97500,78.92639,AWE/NNC
453,1976–11-23,5:02:59.075,50.01306,78.94333,AWE/NNC
454,1976–12-07,4:56:59.085,49.94389,78.83917,AWE/NNC
460,1977–05-29,2:57:00.001,49.94639,78.77167,AWE/NNC
461,1977–06-29,3:07:00.035,49.99944,78.86667,AWE/NNC
468,1977–09-05,3:02:59.086,50.05556,78.91417,AWE/NNC
474,1977–10-29,3:07:04.092,50.05222,78.98028,AWE/NNC/Double
478,1977–11-30,4:06:59.085,49.96722,78.87444,AWE/NNC
487,1978–06-11,2:57:00.008,49.91333,78.80194,AWE/NNC
488,1978–07-05,2:46:59.097,49.90000,78.86667,AWE/NNC
496,1978–09-15,2:36:59.090,49.92833,78.86167,AWE/NNC
505,1978–11-04,5:05:59.081,50.04167,78.94722,AWE/NNC
506,1978–11-29,4:33:04.099,49.95333,78.79528,AWE/NNC/Double
514,1979–02-01,4:13:00.017,50.08083,78.85333,AWE/NNC
521,1979–06-23,2:57:00.002,49.91472,78.84583,AWE/NNC
522,1979–07-07,3:46:59.081,50.03306,78.98917,AWE/NNC
526,1979–08-04,3:56:59.097,49.90306,78.88778,AWE/NNC
528,1979–08-18,2:51:59.061,49.94806,78.91889,AWE/NNC
538,1979–10-28,3:16:59.045,49.99667,78.99500,AWE/NNC
540,1979–12-02,4:36:59.095,49.90944,78.78444,AWE/NNC
542,1979–12-23,4:56:59.093,49.93222,78.75278,AWE/NNC
546,1980–04-25,3:57:00.003,49.97639,78.75944,AWE/NNC
548,1980–06-12,3:27:00.011,49.98872,78.99108,AWE/NNC
552,1980–06-29,2:33:00.019,49.94861,78.81806,AWE/NNC
554,1980–09-14,2:42:41.063,49.93667,78.79750,AWE/NNC
558,1980–10-12,3:34:16.058,49.96750,79.02250,AWE/NNC
564,1980–12-14,3:47:08.091,49.90889,78.91861,AWE/NNC
566,1980–12-27,4:09:10.056,50.06194,78.97528,AWE/NNC
568,1981–03-29,4:03:52.051,50.01806,78.97881,AWE/NNC
569,1981–04-22,1:17:13.082,49.89889,78.80861,AWE/NNC
571,1981–05-27,3:58:14.082,49.98694,78.97056,AWE/NNC
577,1981–09-13,2:17:20.076,49.91333,78.89444,AWE/NNC
582,1981–10-18,3:57:05.014,49.92806,78.84472,AWE/NNC
585,1981–11-29,3:35:11.011,49.90194,78.84889,AWE/NNC
587,1981–12-27,3:43:16.062,49.93306,78.77833,AWE/NNC
589,1982–04-25,3:23:07.088,49.91694,78.88778,AWE/NNC
591,1982–07-04,1:17:16.065,49.95861,78.81167,AWE/NNC
594,1982–08-31,1:31:03.017,49.91417,78.76139,AWE/NNC
604,1982–12-05,3:37:15.004,49.93083,78.80972,AWE/NNC
606,1982–12-26,3:35:16.068,50.06306,78.99389,AWE/NNC
611,1983–06-12,2:36:46.001,49.92500,78.89806,AWE/NNC
625,1983–10-06,1:47:09.008,49.92458,78.75069,AWE/NNC
626,1983–10-26,1:55:07.033,49.91250,78.82167,AWE/NNC
628,1983–11-20,3:27:06.086,50.05083,78.99917,AWE/NNC
632,1984–02-19,3:57:05.085,49.89611,78.74306,AWE/NNC
633,1984–03-07,2:39:08.080,50.05000,78.95611,AWE/NNC
634,1984–03-29,5:19:10.066,49.91111,78.92694,AWE/NNC
636,1984–04-25,1:09:05.099,49.93583,78.85056,AWE/NNC
637,1984–05-26,3:13:14.085,49.97889,79.00556,AWE/NNC
638,1984–07-14,1:09:12.099,49.90944,78.87722,AWE/NNC
654,1984–10-27,1:50:12.093,49.93472,78.92806,AWE/NNC
656,1984–12-02,3:19:08.085,50.00611,79.00889,AWE/NNC
657,1984–12-16,3:55:05.007,49.94583,78.80861,AWE/NNC
658,1984–12-28,3:50:13.009,49.88028,78.70389,AWE/NNC
659,1985–02-10,3:27:09.098,49.89917,78.78056,AWE/NNC
660,1985–04-25,0:57:08.097,49.92667,78.88083,AWE/NNC
661,1985–06-15,0:57:03.025,49.90861,78.84278,IDG/NNC
663,1985–06-30,2:39:05.026,49.86444,78.66861,IDG/NNC
667,1985–07-20,0:53:16.091,49.94972,78.78389,AWE/NNC
670,1987–03-12,1:57:19.057,49.93528,78.82889,AWE/NNC
671,1987–04-03,1:17:10.028,49.91806,78.78028,AWE/NNC
673,1987–04-17,1:03:07.009,49.87778,78.66889,AWE/NNC
678,1987–06-20,0:53:07.009,49.93528,78.74417,AWE/NNC
683,1987–08-02,0:58:09.027,49.88056,78.87472,IDG/NNC
688,1987–11-15,3:31:09.008,49.89861,78.75806,AWE/NNC
689,1987–12-13,3:21:07.031,49.96306,78.79306,IDG/NNC
691,1987–12-27,3:05:07.000,49.87944,78.72500,IDG/NNC
693,1988–02-13,3:05:08.327,49.93667,78.86389,IDG/NNC
694,1988–04-03,1:33:08.294,49.90833,78.90833,IDG/NNC
696,1988–05-04,0:57:09.261,49.94944,78.75028,IDG/NNC
698,1988–06-14,2:27:08.098,50.01889,78.96056,AWE/NNC
701,1988–09-14,3:59:59.069,49.87778,78.82306,AWE/NNC
703,1988–11-12,3:30:06.026,50.04306,78.96889,AWE/NNC
706,1988–12-17,4:18:09.291,49.88194,78.92472,IDG/NNC
708,1989–01-22,3:57:09.002,49.93944,78.81944,AWE/NNC
709,1989–02-12,4:15:09.342,49.91861,78.71111,IDG/NNC
711,1989–07-08,3:47:00.003,49.86778,78.78028,AWE/NNC
712,1989–09-02,4:16:59.085,50.00583,78.98556,AWE/NNC
714,1989–10-19,9:49:59.081,49.92222,78.90833,AWE/NNC